seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;1;5,999999999999999e-06;4,858462761137972
columna_70x70;0,0;2;1,1999999999999999e-05;9,71527579188561
columna_70x70;0,0;3;1,8e-05;14,570438055254522
columna_70x70;0,0;4;2,3999999999999997e-05;19,423948513033558
columna_70x70;0,0;5;3e-05;24,27580612578644
columna_70x70;0,0;6;3,6e-05;29,126009852849982
columna_70x70;0,0;7;4,2000000000000004e-05;33,97455865233168
columna_70x70;0,0;8;4,8e-05;38,82145148110765
columna_70x70;0,0;9;5,400000000000001e-05;43,66668729482074
columna_70x70;0,0;10;6,000000000000001e-05;48,5102650478779
columna_70x70;0,0;11;6,6e-05;53,35218369344857
columna_70x70;0,0;12;7,200000000000002e-05;58,19244218346221
columna_70x70;0,0;13;7,800000000000001e-05;63,03103946860603
columna_70x70;0,0;14;8,400000000000001e-05;67,86797449832329
columna_70x70;0,0;15;9e-05;72,70324622081071
columna_70x70;0,0;16;9,599999999999999e-05;77,53685358301668
columna_70x70;0,0;17;0,00010199999999999999;82,36879553063851
columna_70x70;0,0;18;0,00010799999999999998;87,19907100812068
columna_70x70;0,0;19;0,00011399999999999997;92,02767895865294
columna_70x70;0,0;20;0,00011999999999999996;96,85461832416742
columna_70x70;0,0;21;0,00012599999999999997;101,67988804533694
columna_70x70;0,0;22;0,00013199999999999996;106,50348706157246
columna_70x70;0,0;23;0,00013799999999999994;111,32541431102138
columna_70x70;0,0;24;0,00014399999999999995;116,14566873056464
columna_70x70;0,0;25;0,00014999999999999993;120,96424925581532
columna_70x70;0,0;26;0,00015599999999999992;125,78115482111565
columna_70x70;0,0;27;0,00016199999999999995;130,59638435953536
columna_70x70;0,0;28;0,00016799999999999996;135,40993680286874
columna_70x70;0,0;29;0,00017399999999999995;140,2218110816339
columna_70x70;0,0;30;0,00017999999999999998;145,03200612506825
columna_70x70;0,0;31;0,000186;149,8405208611284
columna_70x70;0,0;32;0,00019199999999999998;154,64735421648714
columna_70x70;0,0;33;0,00019800000000000002;159,45250511653012
columna_70x70;0,0;34;0,00020400000000000003;164,25597248535576
columna_70x70;0,0;35;0,00021;169,0577552457703
columna_70x70;0,0;36;0,00021600000000000005;173,85785231928895
columna_70x70;0,0;37;0,00022200000000000006;178,65626262612986
columna_70x70;0,0;38;0,00022800000000000004;183,45298508521466
columna_70x70;0,0;39;0,00023400000000000008;188,24801861416498
columna_70x70;0,0;40;0,0002400000000000001;193,04136212930007
columna_70x70;0,0;41;0,00024600000000000007;197,8330145456354
columna_70x70;0,0;42;0,0002520000000000001;202,2547952881263
columna_70x70;0,0;43;0,0002580000000000001;206,5079941029922
columna_70x70;0,0;44;0,00026400000000000013;210,75975524480313
columna_70x70;0,0;45;0,0002700000000000001;215,010077825227
columna_70x70;0,0;46;0,00027600000000000015;218,82005696022165
columna_70x70;0,0;47;0,00028200000000000013;222,57933800257888
columna_70x70;0,0;48;0,00028800000000000017;226,33740409723282
columna_70x70;0,0;49;0,00029400000000000015;230,09425452266595
columna_70x70;0,0;50;0,00030000000000000014;233,60436150585568
columna_70x70;0,0;51;0,0003060000000000002;236,91539577110063
columna_70x70;0,0;52;0,0003120000000000002;240,22541055769662
columna_70x70;0,0;53;0,00031800000000000025;243,53440528472262
columna_70x70;0,0;54;0,0003240000000000002;246,8423793706376
columna_70x70;0,0;55;0,0003300000000000002;249,93453586524078
