caso;piso;z_m;G_kN;Q_kN;W_kN;masa_kg;F_X_kN;F_Y_kN;CM_x_m;CM_y_m;ux_mm;uy_mm;Rz_rad
EY;Piso 1;3,56;9711,9;2503,59;10963,7;1117604,044;0,0;2192,74;8,5456;8,0433;-0,008;4,779;2,9051278e-05
EY;Piso 2;7,12;14921,67;4565,03;17204,18;1753739,3;0,0;3440,84;-4,6251;7,7433;0,063;10,183;8,766876e-05
EY;Piso 3;10,68;15325,41;4986,43;17818,63;1816373,787;0,0;3563,73;-5,8821;7,6184;-0,007;17,872;6,3201291e-05
EY;Piso 4;14,24;16584,42;5274,04;19221,44;1959372,314;0,0;3844,29;-8,0842;7,7674;-0,022;23,667;4,0077e-05
EY;Techo;17,8;15361,78;5368,48;18046,02;1839553,323;0,0;3609,2;-8,5617;7,8238;0,013;26,907;3,6372154e-05
