caso;piso;z_m;G_kN;Q_kN;W_kN;masa_kg;F_X_kN;F_Y_kN;CM_x_m;CM_y_m;ux_mm;uy_mm;Rz_rad
EX;Piso 1;3,56;9711,9;2503,59;10963,7;1117604,044;2192,74;0,0;8,5456;8,0433;0,709;-0,011;-1,88806e-07
EX;Piso 2;7,12;14921,67;4565,03;17204,18;1753739,3;3440,84;0,0;-4,6251;7,7433;2,344;-0,006;-9,90402e-07
EX;Piso 3;10,68;15325,41;4986,43;17818,63;1816373,787;3563,73;0,0;-5,8821;7,6184;4,28;0,004;-7,14214e-07
EX;Piso 4;14,24;16584,42;5274,04;19221,44;1959372,314;3844,29;0,0;-8,0842;7,7674;6,059;0,016;-8,65761e-07
EX;Techo;17,8;15361,78;5368,48;18046,02;1839553,323;3609,2;0,0;-8,5617;7,8238;7,536;0,029;-1,730369e-06
