curva;seccion;modelo;punto;P_kN;M_kNm
pm_25x795;25x795;fiber;15;86978,62195650933;8665,676113146885
pm_25x795;25x795;fiber;16;87875,30878080324;5845,234654123134
pm_25x795;25x795;fiber;17;88771,99560509715;2907,3649517782333
pm_25x795;25x795;fiber;18;89668,7;0,0
pm_30x1000;30x1000;fiber;1;-15305,8;0,0
pm_30x1000;30x1000;fiber;2;0,0;136497,06575174633
pm_30x1000;30x1000;fiber;3;13164,056131177276;181684,69758694415
pm_30x1000;30x1000;fiber;4;26328,112262354553;216211,48134394386
pm_30x1000;30x1000;fiber;5;39492,16839353183;228808,4713784029
pm_30x1000;30x1000;fiber;6;52656,224524709105;211528,561197623
pm_30x1000;30x1000;fiber;7;65820,28065588638;192739,66815705574
pm_30x1000;30x1000;fiber;8;78984,33678706366;165940,3069707885
pm_30x1000;30x1000;fiber;9;92148,39291824093;129979,14032744424
pm_30x1000;30x1000;fiber;10;105312,44904941821;90468,25483350245
pm_30x1000;30x1000;fiber;11;111894,47711500684;69970,26357295795
pm_30x1000;30x1000;fiber;12;118476,50518059549;48353,35460875388
pm_30x1000;30x1000;fiber;13;122425,72201994868;34826,98298624172
pm_30x1000;30x1000;fiber;14;125058,53324618412;25444,395471660806
pm_30x1000;30x1000;fiber;15;127691,34447241957;15661,40297302961
pm_30x1000;30x1000;fiber;16;129007,75008553731;10649,728223987113
pm_30x1000;30x1000;fiber;17;130324,15569865503;5337,12646981693
pm_30x1000;30x1000;fiber;18;131640,6;0,0
pm_30x225;30x225;fiber;1;-3826,5;0,0
pm_30x225;30x225;fiber;2;0,0;7628,927643341809
pm_30x225;30x225;fiber;3;3028,5176081708237;9953,939600962369
pm_30x225;30x225;fiber;4;6057,035216341647;11697,45076404594
pm_30x225;30x225;fiber;5;9085,55282451247;12204,943674959448
pm_30x225;30x225;fiber;6;12114,070432683295;11219,842169137346
pm_30x225;30x225;fiber;7;15142,588040854118;10165,874886566073
pm_30x225;30x225;fiber;8;18171,10564902494;8721,092613339817
pm_30x225;30x225;fiber;9;21199,623257195763;6824,343951346688
pm_30x225;30x225;fiber;10;24228,14086536659;4757,55127960821
pm_30x225;30x225;fiber;11;25742,399669452;3683,0459913832105
pm_30x225;30x225;fiber;12;27256,658473537413;2558,1990595775164
pm_30x225;30x225;fiber;13;28165,21375598866;1844,8240828883668
pm_30x225;30x225;fiber;14;28770,917277622822;1345,6090357208304
pm_30x225;30x225;fiber;15;29376,620799256987;829,0667804453368
pm_30x225;30x225;fiber;16;29679,47256007407;563,022218942451
pm_30x225;30x225;fiber;17;29982,32432089115;287,8778680179133
pm_30x225;30x225;fiber;18;30285,2;0,0
pm_30x2695;30x2695;fiber;1;-4948,0;0,0
pm_30x2695;30x2695;fiber;2;0,0;12007,649677685306
pm_30x2695;30x2695;fiber;3;3703,112724863394;15347,94368704173
pm_30x2695;30x2695;fiber;4;7406,225449726788;17875,670223128687
pm_30x2695;30x2695;fiber;5;11109,33817459018;18415,35669666561
pm_30x2695;30x2695;fiber;6;14812,450899453575;16821,383258528396
pm_30x2695;30x2695;fiber;7;18515,56362431697;15165,579636575227
pm_30x2695;30x2695;fiber;8;22218,67634918036;12990,914241433898
pm_30x2695;30x2695;fiber;9;25921,789074043754;10169,889792710403
pm_30x2695;30x2695;fiber;10;29624,90179890715;7103,556216170092
pm_30x2695;30x2695;fiber;11;31476,458161338844;5499,85513061209
pm_30x2695;30x2695;fiber;12;33328,014523770544;3828,3679185787705
pm_30x2695;30x2695;fiber;13;34438,94834122956;2766,8075642113763
pm_30x2695;30x2695;fiber;14;35179,57088620224;2021,5841028514124
pm_30x2695;30x2695;fiber;15;35920,19343117492;1243,2567706707955
pm_30x2695;30x2695;fiber;16;36290,50470366126;842,6732708219815
pm_30x2695;30x2695;fiber;17;36660,8159761476;429,93836725092837
pm_30x2695;30x2695;fiber;18;37031,1;0,0
pm_30x310;30x310;fiber;1;-5080,0;0,0
pm_30x310;30x310;fiber;2;0,0;14054,457572795518
pm_30x310;30x310;fiber;3;4140,92905647571;18401,358920305243
pm_30x310;30x310;fiber;4;8281,85811295142;21730,365329841297
pm_30x310;30x310;fiber;5;12422,78716942713;22790,248902211086
pm_30x310;30x310;fiber;6;16563,71622590284;20974,872089592598
pm_30x310;30x310;fiber;7;20704,64528237855;19041,06055505433
pm_30x310;30x310;fiber;8;24845,57433885426;16355,389034053947
pm_30x310;30x310;fiber;9;28986,503395329968;12802,35341260074
pm_30x310;30x310;fiber;10;33127,43245180568;8929,18447883459
pm_30x310;30x310;fiber;11;35197,89698004354;6905,663960364536
pm_30x310;30x310;fiber;12;37268,36150828139;4791,020365040869
pm_30x310;30x310;fiber;13;38510,64022522411;3456,014311784711
pm_30x310;30x310;fiber;14;39338,82603651925;2518,3336681902274
pm_30x310;30x310;fiber;15;40167,011847814385;1552,599100370626
pm_30x310;30x310;fiber;16;40581,10475346196;1053,595781150875
pm_30x310;30x310;fiber;17;40995,19765910953;538,2575371281249
pm_30x310;30x310;fiber;18;41409,3;0,0
pm_30x615;30x615;fiber;1;-9038,4;0,0
pm_30x615;30x615;fiber;2;0,0;49325,47596624221
pm_30x615;30x615;fiber;3;8022,008387252535;66360,33960035747
pm_30x615;30x615;fiber;4;16044,01677450507;79399,10499103248
pm_30x615;30x615;fiber;5;24066,025161757603;84557,88233165124
pm_30x615;30x615;fiber;6;32088,03354901014;78412,13225793504
pm_30x615;30x615;fiber;7;40110,04193626267;71618,501633304
pm_30x615;30x615;fiber;8;48132,05032351521;61753,86167703507
pm_30x615;30x615;fiber;9;56154,058710767735;48371,97624026108
pm_30x615;30x615;fiber;10;64176,06709802028;33674,73988354943
pm_30x615;30x615;fiber;11;68187,07129164654;25988,551159902672
