id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
72,column,70x70,70.0,70.0,0.49,20,51,-4000,725.0,356.0,-4000,725.0,712.0,3.56,1.13117,-0.42861,0.0,0.762926,2.013482,-0.00147
73,column,70x70,70.0,70.0,0.49,23,54,-4500,725.0,356.0,-4500,725.0,712.0,3.56,1.13117,-0.421918,0.0,0.751014,2.013482,-0.00147
74,column,70x70,70.0,70.0,0.49,15,40,-2000,1615.0,356.0,-2000,1615.0,712.0,3.56,1.143082,-0.45538,0.0,0.810577,2.034686,-0.00147
75,column,70x70,70.0,70.0,0.49,18,46,-3000,1615.0,356.0,-3000,1615.0,712.0,3.56,1.143082,-0.441995,0.0,0.786752,2.034686,-0.00147
76,column,70x70,70.0,70.0,0.49,21,52,-4000,1615.0,356.0,-4000,1615.0,712.0,3.56,1.143082,-0.42861,0.0,0.762926,2.034686,-0.00147
77,column,70x70,70.0,70.0,0.49,24,55,-4500,1615.0,356.0,-4500,1615.0,712.0,3.56,1.143082,-0.421918,0.0,0.751014,2.034686,-0.00147
78,column,70x70,70.0,70.0,0.49,38,70,-2000,0,712.0,-2000,0,1068.0,3.56,3.793444,14.002334,909.71282,-13.711174,5.018504,0.029353
79,column,70x70,70.0,70.0,0.49,44,78,-3000,0,712.0,-3000,0,1068.0,3.56,0.926109,14.61651,895.701819,-14.281431,1.615933,0.029353
80,column,70x70,70.0,70.0,0.49,50,84,-4000,0,712.0,-4000,0,1068.0,3.56,8.523756,3.672089,750.600065,-1.135487,10.631807,0.029353
81,column,70x70,70.0,70.0,0.49,53,87,-4500,0,712.0,-4500,0,1068.0,3.56,3.037765,1.032717,443.197085,2.07585,4.121764,0.029353
82,column,70x70,70.0,70.0,0.49,39,71,-2000,725.0,712.0,-2000,725.0,1068.0,3.56,5.154323,-0.393442,1502.789821,3.371813,6.518455,0.029353
83,column,70x70,70.0,70.0,0.49,45,79,-3000,725.0,712.0,-3000,725.0,1068.0,3.56,-0.700305,-2.139713,1486.397732,5.60262,-0.429038,0.029353
84,column,70x70,70.0,70.0,0.49,51,85,-4000,725.0,712.0,-4000,725.0,1068.0,3.56,16.853132,-1.509907,1241.377562,5.013814,20.401041,0.029353
85,column,70x70,70.0,70.0,0.49,54,88,-4500,725.0,712.0,-4500,725.0,1068.0,3.56,5.636143,-2.055676,702.323099,5.740743,7.090213,0.029353
86,column,70x70,70.0,70.0,0.49,40,72,-2000,1615.0,712.0,-2000,1615.0,1068.0,3.56,2.949331,-8.172961,1041.786703,12.60351,3.760741,0.029353
87,column,70x70,70.0,70.0,0.49,46,80,-3000,1615.0,712.0,-3000,1615.0,1068.0,3.56,-0.426441,-7.76432,1032.324057,12.277153,-0.245175,0.029353
88,column,70x70,70.0,70.0,0.49,52,86,-4000,1615.0,712.0,-4000,1615.0,1068.0,3.56,10.591926,-7.547793,858.139924,12.178773,12.829954,0.029353
89,column,70x70,70.0,70.0,0.49,55,89,-4500,1615.0,712.0,-4500,1615.0,1068.0,3.56,3.547026,-5.010853,497.737093,9.247552,4.470006,0.029353
90,column,70x70,70.0,70.0,0.49,70,104,-2000,0,1068.0,-2000,0,1424.0,3.56,4.919732,22.29343,655.099418,-42.909136,9.912451,0.061203
91,column,70x70,70.0,70.0,0.49,78,111,-3000,0,1068.0,-3000,0,1424.0,3.56,2.04439,21.598241,644.272735,-42.799517,3.097808,0.061203
92,column,70x70,70.0,70.0,0.49,84,117,-4000,0,1068.0,-4000,0,1424.0,3.56,14.932235,6.514945,494.759676,-11.899809,27.407257,0.061203
93,column,70x70,70.0,70.0,0.49,87,120,-4500,0,1068.0,-4500,0,1424.0,3.56,8.8753,1.547211,301.402999,-2.865968,13.709652,0.061203
94,column,70x70,70.0,70.0,0.49,71,105,-2000,725.0,1068.0,-2000,725.0,1424.0,3.56,8.80725,-1.133687,996.258563,1.974029,16.130773,0.061203
95,column,70x70,70.0,70.0,0.49,79,112,-3000,725.0,1068.0,-3000,725.0,1424.0,3.56,-1.026185,-2.832571,981.684482,6.075764,-2.485728,0.061203
96,column,70x70,70.0,70.0,0.49,85,118,-4000,725.0,1068.0,-4000,725.0,1424.0,3.56,30.355074,-2.346299,818.829385,4.764835,55.583444,0.061203
