id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
300066,beam_y,60x80,,,,,,,,,,,,,12.048995,8.916947,101.103313,170.224252,17.95981,-21.775869
300067,beam_y,60x80,,,,,,,,,,,,,5.310555,-27.443317,70.18829,137.49277,9.535314,-12.575833
300068,beam_y,60x80,,,,,,,,,,,,,4.451716,3.190237,64.98091,95.059719,19.863503,-6.805614
300069,beam_y,60x80,,,,,,,,,,,,,11.114329,7.861195,98.450458,147.758284,-33.859462,-20.106415
300070,beam_y,60x80,,,,,,,,,,,,,5.845716,1.046632,64.559747,110.835072,-16.765949,-12.974471
300071,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-31.018829,-31.655278,-308.711472,0.0
300072,beam_x,60x80,,,,,,,,,,,,,-0.0,0.0,-387.767764,6.147603,-328.124354,-0.0
300073,beam_x,60x80,,,,,,,,,,,,,0.0,-0.0,-136.984333,-26.636338,-451.181446,0.0
300074,beam_x,60x80,,,,,,,,,,,,,-0.0,0.0,-276.181107,12.768202,-90.807621,-0.0
300075,beam_x,60x80,,,,,,,,,,,,,-0.0,0.0,-106.122414,42.363123,-277.91139,-0.0
