id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
455,wall,25x365,25.0,356.0,0.89,9439,9440,-317.5,230.0,0.0,-682.5,230.0,356.0,5.0986,-8.119329,0.144727,53.418828,-0.515227,166.073914,-0.006242
456,wall,25x158,25.0,158.0,0.395,9441,9442,-670.0,309.0,0.0,-670.0,309.0,356.0,3.56,-2.488082,0.081132,190.473314,-0.204127,8.56523,0.121481
457,wall,25x365,25.0,356.0,0.89,9443,9444,-317.5,230.0,356.0,-682.5,230.0,712.0,5.0986,76.838853,0.777453,53.418828,-2.767732,468.525041,-0.063817
458,wall,25x158,25.0,158.0,0.395,9438,9445,-330.0,309.0,356.0,-330.0,309.0,712.0,3.56,2.918881,-0.447945,157.365742,0.061493,17.422801,0.240917
459,wall,25x158,25.0,158.0,0.395,9442,9446,-670.0,309.0,356.0,-670.0,309.0,712.0,3.56,2.918881,-0.475009,157.365742,0.084703,17.422801,0.240917
460,wall,25x365,25.0,356.0,0.89,9447,9448,-317.5,230.0,712.0,-682.5,230.0,1068.0,5.0986,128.96134,2.868441,53.418828,-10.211651,654.081094,-0.410404
461,wall,25x158,25.0,158.0,0.395,9445,9449,-330.0,309.0,712.0,-330.0,309.0,1068.0,3.56,-0.576653,0.754185,124.258169,-1.533193,7.031585,-1.489179
462,wall,25x158,25.0,158.0,0.395,9446,9450,-670.0,309.0,712.0,-670.0,309.0,1068.0,3.56,-0.576653,0.783347,124.258169,-1.606331,7.031585,-1.489179
463,wall,25x365,25.0,356.0,0.89,9451,9452,-317.5,230.0,1068.0,-682.5,230.0,1424.0,5.0986,220.57845,2.198956,53.418828,-7.828284,980.238006,-0.348576
464,wall,25x158,25.0,158.0,0.395,9449,9453,-330.0,309.0,1068.0,-330.0,309.0,1424.0,3.56,-11.18813,-0.744592,91.150596,1.151705,9.08447,-1.60321
465,wall,25x158,25.0,158.0,0.395,9450,9454,-670.0,309.0,1068.0,-670.0,309.0,1424.0,3.56,-11.18813,-0.771557,91.150596,1.182386,9.08447,-1.60321
466,wall,25x365,25.0,356.0,0.89,9455,9456,-317.5,230.0,1424.0,-682.5,230.0,1780.0,5.0986,333.93396,3.549277,53.418828,-12.635428,1383.783623,-0.574422
467,wall,25x158,25.0,356.0,0.89,9453,9457,-330.0,309.0,1424.0,-330.0,309.0,1780.0,3.56,13.739948,0.421079,37.298405,-1.499043,48.914214,-31.434023
468,wall,25x158,25.0,356.0,0.89,9454,9458,-670.0,309.0,1424.0,-670.0,309.0,1780.0,3.56,13.739948,0.439426,37.298405,-1.564357,48.914214,-31.434023
469,wall,30x225,30.0,225.0,0.675,9459,9460,-360.0,1112.5,0.0,-360.0,1112.5,356.0,3.56,-6.378734,0.178943,287.532984,-0.490272,30.517325,0.420984
470,wall,30x310,30.0,356.0,1.068,9461,9462,-345.0,1225.0,0.0,-655.0,1225.0,356.0,4.7206,2.963711,0.312352,59.349106,-1.111975,194.53304,0.164057
471,wall,30x225,30.0,225.0,0.675,9463,9464,-640.0,1112.5,0.0,-640.0,1112.5,356.0,3.56,-6.378734,0.193848,287.532984,-0.496639,30.517325,0.420984
472,wall,30x310,30.0,356.0,1.068,9465,9466,-345.0,1225.0,356.0,-655.0,1225.0,712.0,4.7206,112.569874,1.673463,59.349106,-5.957528,584.730982,0.812363
473,wall,30x310,30.0,356.0,1.068,9467,9468,-345.0,1225.0,712.0,-655.0,1225.0,1068.0,4.7206,217.977398,6.148567,59.349106,-21.888898,959.981767,2.599058
474,wall,30x310,30.0,356.0,1.068,9469,9470,-345.0,1225.0,1068.0,-655.0,1225.0,1424.0,4.7206,341.313156,4.708515,59.349106,-16.762314,1399.057065,1.915155
475,wall,30x310,30.0,356.0,1.068,9471,9472,-345.0,1225.0,1424.0,-655.0,1225.0,1780.0,4.7206,515.154507,7.598155,59.349106,-27.049433,2017.932275,3.064355
476,wall,30x225,30.0,225.0,0.675,9460,9473,-360.0,1112.5,356.0,-360.0,1112.5,712.0,3.56,1.818808,-1.096037,230.956752,0.146766,53.225618,0.834881
477,wall,30x225,30.0,225.0,0.675,9464,9474,-640.0,1112.5,356.0,-640.0,1112.5,712.0,3.56,1.818808,-1.150449,230.956752,0.193459,53.225618,0.834881
478,wall,30x225,30.0,225.0,0.675,9473,9475,-360.0,1112.5,712.0,-360.0,1112.5,1068.0,3.56,5.500086,1.817741,174.38052,-3.755126,46.750663,-5.16065
479,wall,30x225,30.0,225.0,0.675,9474,9476,-640.0,1112.5,712.0,-640.0,1112.5,1068.0,3.56,5.500086,1.87525,174.38052,-3.902141,46.750663,-5.16065
480,wall,30x225,30.0,225.0,0.675,9475,9477,-360.0,1112.5,1068.0,-360.0,1112.5,1424.0,3.56,-39.984849,-1.672408,117.804288,2.716032,27.170358,-5.555817
481,wall,30x225,30.0,225.0,0.675,9476,9478,-640.0,1112.5,1068.0,-640.0,1112.5,1424.0,3.56,-39.984849,-1.72113,117.804288,2.773749,27.170358,-5.555817
482,wall,30x225,30.0,356.0,1.068,9477,9479,-360.0,1112.5,1424.0,-360.0,1112.5,1780.0,3.56,47.616972,0.909478,44.758086,-3.237741,169.51642,-37.720828
483,wall,30x225,30.0,356.0,1.068,9478,9480,-640.0,1112.5,1424.0,-640.0,1112.5,1780.0,3.56,47.616972,0.941987,44.758086,-3.353472,169.51642,-37.720828
588,beam_x,30x80,30.0,80.0,0.24,516,512,3205.0,426.5,356.0,2830.0,426.5,356.0,3.75,-0.0,0.0,-17.329524,-49.337138,-28.540633,-0.0
