elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
55;EY;column;70x70;-0,63186829;-149,13589107;6,1054624;203,71493804;-1,2700906;0,54138273;0,63186829;149,13589107;-6,1054624;327,20883415;-0,97936049;-0,54138273;6,1054624;149,13589107;-0,63186829;0,54138273;1,2700906;203,71493804;-6,1054624;-149,13589107;0,63186829;-0,54138273;0,97936049;327,20883415;6,1054624;149,13589107;0,63186829;0,54138273;1,2700906;203,71493804;6,1054624;149,13589107;0,63186829;0,54138273;0,97936049;327,20883415
56;EY;column;70x70;-5,33365566;-166,85077092;11,11727529;237,85933402;-13,31317086;0,54138273;5,33365566;166,85077092;-11,11727529;356,12941045;-5,6746433;-0,54138273;11,11727529;166,85077092;-5,33365566;0,54138273;13,31317086;237,85933402;-11,11727529;-166,85077092;5,33365566;-0,54138273;5,6746433;356,12941045;11,11727529;166,85077092;5,33365566;0,54138273;13,31317086;237,85933402;11,11727529;166,85077092;5,33365566;0,54138273;5,6746433;356,12941045
57;EY;column;70x70;0,51615987;-69,14812823;41,05148845;53,10360236;3,70730308;0,54138273;-0,51615987;69,14812823;-41,05148845;193,06373416;-1,86977395;-0,54138273;41,05148845;69,14812823;0,51615987;0,54138273;-3,70730308;53,10360236;-41,05148845;-69,14812823;-0,51615987;-0,54138273;1,86977395;193,06373416;41,05148845;69,14812823;0,51615987;0,54138273;3,70730308;53,10360236;41,05148845;69,14812823;0,51615987;0,54138273;1,86977395;193,06373416
58;EY;column;70x70;-5,89913826;-77,92991537;43,45041953;64,93546506;-9,11762188;0,54138273;5,89913826;77,92991537;-43,45041953;212,49503366;-11,88331033;-0,54138273;43,45041953;77,92991537;-5,89913826;0,54138273;9,11762188;64,93546506;-43,45041953;-77,92991537;5,89913826;-0,54138273;11,88331033;212,49503366;43,45041953;77,92991537;5,89913826;0,54138273;9,11762188;64,93546506;43,45041953;77,92991537;5,89913826;0,54138273;11,88331033;212,49503366
59;EY;beam_x;60x80;0,0;-0,0;1,0469003;-0,04732381;5,04721142;0,0;-0,0;0,0;-1,0469003;0,04732381;5,42179156;0,0;0,0;0,0;1,0469003;0,04732381;-5,04721142;0,0;0,0;-0,0;-1,0469003;-0,04732381;-5,42179156;0,0;0,0;0,0;1,0469003;0,04732381;5,04721142;0,0;0,0;0,0;1,0469003;0,04732381;5,42179156;0,0
60;EY;beam_x;60x80;0,0;-0,0;0,15878055;-1,17821644;0,59253701;0,0;-0,0;0,0;-0,15878055;1,17821644;0,9952685;0,0;0,0;0,0;0,15878055;1,17821644;-0,59253701;0,0;0,0;-0,0;-0,15878055;-1,17821644;-0,9952685;0,0;0,0;0,0;0,15878055;1,17821644;0,59253701;0,0;0,0;0,0;0,15878055;1,17821644;0,9952685;0,0
61;EY;beam_x;60x80;0,0;-0,0;0,24597222;-1,44143959;1,77661242;0,0;-0,0;0,0;-0,24597222;1,44143959;0,68310981;0,0;0,0;0,0;0,24597222;1,44143959;-1,77661242;0,0;0,0;-0,0;-0,24597222;-1,44143959;-0,68310981;0,0;0,0;0,0;0,24597222;1,44143959;1,77661242;0,0;0,0;0,0;0,24597222;1,44143959;0,68310981;0,0
62;EY;beam_y;60x80;0,0;0,0;-46,75219808;-184,46961818;-0,47998501;0,0;0,0;0,0;46,75219808;-154,48381787;0,47998501;0,0;0,0;0,0;-46,75219808;-0,47998501;184,46961818;0,0;0,0;0,0;46,75219808;0,47998501;154,48381787;0,0;0,0;0,0;46,75219808;0,47998501;184,46961818;0,0;0,0;0,0;46,75219808;0,47998501;154,48381787;0,0
63;EY;beam_y;60x80;0,0;0,0;-48,81341661;-193,44139296;-0,50017632;0,0;0,0;0,0;48,81341661;-160,45587745;0,50017632;0,0;0,0;0,0;-48,81341661;-0,50017632;193,44139296;0,0;0,0;0,0;48,81341661;0,50017632;160,45587745;0,0;0,0;0,0;48,81341661;0,50017632;193,44139296;0,0;0,0;0,0;48,81341661;0,50017632;160,45587745;0,0
64;EY;beam_y;60x80;0,0;0,0;-40,80551623;-171,54679984;-0,09316153;-0,0;-0,0;0,0;40,80551623;-191,62229456;0,09316153;-0,0;0,0;-0,0;-40,80551623;-0,09316153;171,54679984;-0,0;0,0;0,0;40,80551623;0,09316153;191,62229456;-0,0;0,0;0,0;40,80551623;0,09316153;171,54679984;0,0;0,0;0,0;40,80551623;0,09316153;191,62229456;0,0
