elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
369;G;beam_y;60x80;-0,0;0,0;51,76088621;-37,05003243;-3,67743503;-0,0;0,0;0,0;69,67502004;101,98876756;3,67743503;-0,0;0,0;-0,0;51,76088621;3,67743503;-37,05003243;-0,0;0,0;0,0;69,67502004;-3,67743503;101,98876756;-0,0;0,0;0,0;51,76088621;3,67743503;37,05003243;0,0;0,0;0,0;69,67502004;3,67743503;101,98876756;0,0
370;G;beam_x;60x80;0,0;0,0;125,78888725;39,8978011;-305,25626616;0,0;0,0;-0,0;-91,21638725;-39,8978011;-237,2569201;0,0;0,0;0,0;125,78888725;39,8978011;-305,25626616;0,0;0,0;-0,0;-91,21638725;-39,8978011;-237,2569201;0,0;0,0;0,0;125,78888725;39,8978011;305,25626616;0,0;0,0;0,0;91,21638725;39,8978011;237,2569201;0,0
371;G;beam_x;60x80;0,0;0,0;222,58244671;19,95165732;-522,64620883;0,0;0,0;-0,0;-153,43744671;-19,95165732;-417,40352474;0,0;0,0;0,0;222,58244671;19,95165732;-522,64620883;0,0;0,0;-0,0;-153,43744671;-19,95165732;-417,40352474;0,0;0,0;0,0;222,58244671;19,95165732;522,64620883;0,0;0,0;0,0;153,43744671;19,95165732;417,40352474;0,0
372;G;beam_x;60x80;0,0;-0,0;128,37170424;-47,30808508;279,9921564;0,0;-0,0;0,0;-93,79920424;47,30808508;275,4351148;0,0;0,0;0,0;128,37170424;47,30808508;-279,9921564;0,0;0,0;-0,0;-93,79920424;-47,30808508;-275,4351148;0,0;0,0;0,0;128,37170424;47,30808508;279,9921564;0,0;0,0;0,0;93,79920424;47,30808508;275,4351148;0,0
373;G;beam_y;60x80;0,0;0,0;80,9382484;-105,77292454;2,87127435;0,0;-0,0;0,0;80,42889535;103,50630343;-2,87127435;0,0;0,0;0,0;80,9382484;-2,87127435;-105,77292454;0,0;0,0;-0,0;80,42889535;2,87127435;103,50630343;0,0;0,0;0,0;80,9382484;2,87127435;105,77292454;0,0;0,0;0,0;80,42889535;2,87127435;103,50630343;0,0
374;G;beam_y;60x80;0,0;0,0;47,96434674;-22,42060647;-3,87997166;0,0;-0,0;0,0;73,47155951;114,88425277;3,87997166;0,0;0,0;0,0;47,96434674;3,87997166;-22,42060647;0,0;0,0;-0,0;73,47155951;-3,87997166;114,88425277;0,0;0,0;0,0;47,96434674;3,87997166;22,42060647;0,0;0,0;0,0;73,47155951;3,87997166;114,88425277;0,0
375;G;beam_x;60x80;0,0;0,0;128,50981424;43,88014118;-312,93676871;0,0;0,0;-0,0;-93,93731424;-43,88014118;-243,18105251;0,0;0,0;0,0;128,50981424;43,88014118;-312,93676871;0,0;0,0;-0,0;-93,93731424;-43,88014118;-243,18105251;0,0;0,0;0,0;128,50981424;43,88014118;312,93676871;0,0;0,0;0,0;93,93731424;43,88014118;243,18105251;0,0
376;G;beam_x;60x80;0,0;0,0;220,97831949;21,58330442;-516,68493295;0,0;0,0;-0,0;-151,83331949;-21,58330442;-415,3441645;0,0;0,0;0,0;220,97831949;21,58330442;-516,68493295;0,0;0,0;-0,0;-151,83331949;-21,58330442;-415,3441645;0,0;0,0;0,0;220,97831949;21,58330442;516,68493295;0,0;0,0;0,0;151,83331949;21,58330442;415,3441645;0,0
377;G;beam_x;60x80;0,0;0,0;126,9540756;-49,69845787;267,83606177;-0,0;0,0;-0,0;-92,3815756;49,69845787;280,50306621;-0,0;0,0;-0,0;126,9540756;49,69845787;-267,83606177;-0,0;0,0;0,0;-92,3815756;-49,69845787;-280,50306621;-0,0;0,0;0,0;126,9540756;49,69845787;267,83606177;0,0;0,0;0,0;92,3815756;49,69845787;280,50306621;0,0
378;G;beam_y;60x80;-0,0;0,0;82,99629447;-117,0230101;1,46501338;-0,0;0,0;0,0;78,37084928;96,43977897;-1,46501338;-0,0;0,0;-0,0;82,99629447;-1,46501338;-117,0230101;-0,0;0,0;0,0;78,37084928;1,46501338;96,43977897;-0,0;0,0;0,0;82,99629447;1,46501338;117,0230101;0,0;0,0;0,0;78,37084928;1,46501338;96,43977897;0,0
379;G;beam_y;60x80;0,0;0,0;43,69963139;-7,06670518;-2,96052921;0,0;-0,0;0,0;77,73627486;130,44953779;2,96052921;0,0;0,0;0,0;43,69963139;2,96052921;-7,06670518;0,0;0,0;-0,0;77,73627486;-2,96052921;130,44953779;0,0;0,0;0,0;43,69963139;2,96052921;7,06670518;0,0;0,0;0,0;77,73627486;2,96052921;130,44953779;0,0
380;G;beam_x;60x80;0,0;0,0;126,33364865;32,73159865;-321,17205315;0,0;0,0;-0,0;-91,76114865;-32,73159865;-224,0649401;0,0;0,0;0,0;126,33364865;32,73159865;-321,17205315;0,0;0,0;-0,0;-91,76114865;-32,73159865;-224,0649401;0,0;0,0;0,0;126,33364865;32,73159865;321,17205315;0,0;0,0;0,0;91,76114865;32,73159865;224,0649401;0,0
381;G;beam_x;60x80;0,0;0,0;230,41246699;16,23773346;-568,00941068;0,0;0,0;-0,0;-161,26746699;-16,23773346;-411,19042429;0,0;0,0;0,0;230,41246699;16,23773346;-568,00941068;0,0;0,0;-0,0;-161,26746699;-16,23773346;-411,19042429;0,0;0,0;0,0;230,41246699;16,23773346;568,00941068;0,0;0,0;0,0;161,26746699;16,23773346;411,19042429;0,0
382;G;beam_x;60x80;0,0;0,0;127,65366251;-45,01526591;288,44774864;-0,0;0,0;-0,0;-93,08116251;45,01526591;263,38931392;-0,0;0,0;-0,0;127,65366251;45,01526591;-288,44774864;-0,0;0,0;0,0;-93,08116251;-45,01526591;-263,38931392;-0,0;0,0;0,0;127,65366251;45,01526591;288,44774864;0,0;0,0;0,0;93,08116251;45,01526591;263,38931392;0,0
383;G;beam_y;60x80;-0,0;0,0;78,95274464;-84,66505505;10,29470334;-0,0;0,0;0,0;82,41439911;100,06941745;-10,29470334;-0,0;0,0;-0,0;78,95274464;-10,29470334;-84,66505505;-0,0;0,0;0,0;82,41439911;10,29470334;100,06941745;-0,0;0,0;0,0;78,95274464;10,29470334;84,66505505;0,0;0,0;0,0;82,41439911;10,29470334;100,06941745;0,0
384;G;beam_y;60x80;-0,0;0,0;52,50306709;-35,51010275;-10,86008965;-0,0;0,0;0,0;68,93283916;95,06802652;10,86008965;-0,0;0,0;-0,0;52,50306709;10,86008965;-35,51010275;-0,0;0,0;0,0;68,93283916;-10,86008965;95,06802652;-0,0;0,0;0,0;52,50306709;10,86008965;35,51010275;0,0;0,0;0,0;68,93283916;10,86008965;95,06802652;0,0
385;G;beam_x;60x80;0,0;0,0;114,71553062;30,32951836;-228,32779704;0,0;0,0;-0,0;-95,26849937;-30,32951836;-165,39225919;0,0;0,0;0,0;114,71553062;30,32951836;-228,32779704;0,0;0,0;-0,0;-95,26849937;-30,32951836;-165,39225919;0,0;0,0;0,0;114,71553062;30,32951836;228,32779704;0,0;0,0;0,0;95,26849937;30,32951836;165,39225919;0,0
386;G;beam_x;60x80;0,0;-0,0;114,75698828;42,13282976;-223,53231418;-0,0;0,0;0,0;-95,30995703;-42,13282976;-170,34320829;-0,0;0,0;-0,0;114,75698828;42,13282976;-223,53231418;-0,0;0,0;0,0;-95,30995703;-42,13282976;-170,34320829;-0,0;0,0;0,0;114,75698828;42,13282976;223,53231418;0,0;0,0;0,0;95,30995703;42,13282976;170,34320829;0,0
387;G;beam_x;60x80;0,0;-0,0;115,07712904;47,19713763;-220,86782689;-0,0;0,0;0,0;-95,63009779;-47,19713763;-174,20822342;-0,0;0,0;-0,0;115,07712904;47,19713763;-220,86782689;-0,0;0,0;0,0;-95,63009779;-47,19713763;-174,20822342;-0,0;0,0;0,0;115,07712904;47,19713763;220,86782689;0,0;0,0;0,0;95,63009779;47,19713763;174,20822342;0,0
