elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
243;Q;beam_y;60x80;-0,0;0,0;23,49544233;-44,13304114;-0,21825484;-0,0;0,0;0,0;-11,39224233;1,221189;0,21825484;-0,0;0,0;-0,0;23,49544233;0,21825484;-44,13304114;-0,0;0,0;0,0;-11,39224233;-0,21825484;1,221189;-0,0;0,0;0,0;23,49544233;0,21825484;44,13304114;0,0;0,0;0,0;11,39224233;0,21825484;1,221189;0,0
244;Q;beam_y;60x80;-0,0;0,0;18,92057818;-38,54545936;-15,74002491;-0,0;0,0;0,0;-12,86897818;-0,55569497;15,74002491;-0,0;0,0;-0,0;18,92057818;15,74002491;-38,54545936;-0,0;0,0;0,0;-12,86897818;-15,74002491;-0,55569497;-0,0;0,0;0,0;18,92057818;15,74002491;38,54545936;0,0;0,0;0,0;12,86897818;15,74002491;0,55569497;0,0
245;Q;beam_y;60x80;0,0;0,0;33,52456634;39,82759179;14,60997177;-0,0;-0,0;0,0;26,29543366;-13,62198582;-14,60997177;-0,0;0,0;-0,0;33,52456634;14,60997177;-39,82759179;-0,0;0,0;0,0;26,29543366;-14,60997177;13,62198582;-0,0;0,0;0,0;33,52456634;14,60997177;39,82759179;0,0;0,0;0,0;26,29543366;14,60997177;13,62198582;0,0
246;Q;beam_y;60x80;-0,0;0,0;5,34831103;0,27020475;9,21785696;-0,0;0,0;0,0;0,63568897;-6,06672987;-9,21785696;-0,0;0,0;-0,0;5,34831103;-9,21785696;0,27020475;-0,0;0,0;0,0;0,63568897;9,21785696;-6,06672987;-0,0;0,0;0,0;5,34831103;9,21785696;0,27020475;0,0;0,0;0,0;0,63568897;9,21785696;6,06672987;0,0
247;Q;beam_x;60x80;0,0;-0,0;-0,63568897;6,06672987;9,21785696;0,0;0,0;0,0;5,47568897;-6,06672987;-15,9403727;0,0;0,0;0,0;-0,63568897;-6,06672987;-9,21785696;0,0;0,0;-0,0;5,47568897;6,06672987;15,9403727;0,0;0,0;0,0;0,63568897;6,06672987;9,21785696;0,0;0,0;0,0;5,47568897;6,06672987;15,9403727;0,0
248;Q;beam_y;60x80;0,0;0,0;-5,47568897;6,06672987;15,9403727;-0,0;-0,0;0,0;11,45968897;-26,89724475;-15,9403727;-0,0;0,0;-0,0;-5,47568897;15,9403727;-6,06672987;-0,0;0,0;0,0;11,45968897;-15,9403727;26,89724475;-0,0;0,0;0,0;5,47568897;15,9403727;6,06672987;0,0;0,0;0,0;11,45968897;15,9403727;26,89724475;0,0
249;Q;beam_y;60x80;-0,0;0,0;21,71363393;-48,80247859;15,4408585;-0,0;0,0;0,0;-4,73923393;-5,69042921;-15,4408585;-0,0;0,0;-0,0;21,71363393;-15,4408585;-48,80247859;-0,0;0,0;0,0;-4,73923393;15,4408585;-5,69042921;-0,0;0,0;0,0;21,71363393;15,4408585;48,80247859;0,0;0,0;0,0;4,73923393;15,4408585;5,69042921;0,0
250;Q;beam_x;60x80;0,0;-0,0;31,70043751;-0,32144568;32,38471488;0,0;0,0;0,0;33,72516249;0,32144568;-42,50833976;0,0;0,0;0,0;31,70043751;0,32144568;-32,38471488;0,0;0,0;-0,0;33,72516249;-0,32144568;42,50833976;0,0;0,0;0,0;31,70043751;0,32144568;32,38471488;0,0;0,0;0,0;33,72516249;0,32144568;42,50833976;0,0
251;Q;beam_y;60x80;0,0;0,0;-5,28273814;-6,40864869;18,54164822;-0,0;-0,0;0,0;22,25713814;-50,32349645;-18,54164822;-0,0;0,0;-0,0;-5,28273814;18,54164822;6,40864869;-0,0;0,0;0,0;22,25713814;-18,54164822;50,32349645;-0,0;0,0;0,0;5,28273814;18,54164822;6,40864869;0,0;0,0;0,0;22,25713814;18,54164822;50,32349645;0,0
252;Q;beam_y;60x80;0,0;0,0;22,09621279;-51,37520413;16,68245403;0,0;-0,0;-0,0;-5,12181279;-4,69392856;-16,68245403;0,0;0,0;0,0;22,09621279;-16,68245403;-51,37520413;0,0;0,0;-0,0;-5,12181279;16,68245403;-4,69392856;0,0;0,0;0,0;22,09621279;16,68245403;51,37520413;0,0;0,0;0,0;5,12181279;16,68245403;4,69392856;0,0
253;Q;beam_x;60x80;0,0;-0,0;31,96800195;-0,32158437;29,58271639;0,0;0,0;0,0;33,45759805;0,32158437;-37,03069686;0,0;0,0;0,0;31,96800195;0,32158437;-29,58271639;0,0;0,0;-0,0;33,45759805;-0,32158437;37,03069686;0,0;0,0;0,0;31,96800195;0,32158437;29,58271639;0,0;0,0;0,0;33,45759805;0,32158437;37,03069686;0,0
254;Q;beam_y;60x80;-0,0;0,0;-5,73890277;-5,4531429;19,19833826;0,0;0,0;0,0;22,71330277;-53,15840051;-19,19833826;0,0;0,0;0,0;-5,73890277;19,19833826;5,4531429;0,0;0,0;-0,0;22,71330277;-19,19833826;53,15840051;0,0;0,0;0,0;5,73890277;19,19833826;5,4531429;0,0;0,0;0,0;22,71330277;19,19833826;53,15840051;0,0
255;Q;column;70x70;-13,90218979;19,27458802;922,92168518;-23,33807593;-15,50838464;0,00801778;13,90218979;-19,27458802;-922,92168518;-45,27945743;-33,98341103;-0,00801778;922,92168518;-19,27458802;-13,90218979;0,00801778;15,50838464;-23,33807593;-922,92168518;19,27458802;13,90218979;-0,00801778;33,98341103;-45,27945743;922,92168518;19,27458802;13,90218979;0,00801778;15,50838464;23,33807593;922,92168518;19,27458802;13,90218979;0,00801778;33,98341103;45,27945743
