caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,403;0,0;16,1213;9,6531
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,4475;0,0;15,8013;10,3634
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,492;0,0;15,4813;11,0595
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,5365;0,0;15,1613;11,7413
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,581;0,0;14,8413;12,4088
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,6255;0,0;14,5213;13,0621
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,67;0,0;14,2013;13,7012
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,7145;0,0;13,8813;14,3261
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,759;0,0;13,5613;14,9366
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,8035;0,0;13,2413;15,533
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,848;0,0;12,9213;16,1151
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,8925;0,0;12,6013;16,683
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,937;0,0;12,2813;17,2366
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;2,9815;0,0;11,9613;17,776
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,026;0,0;11,6413;18,3012
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,0705;0,0;11,3213;18,8121
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,115;0,0;11,0013;19,3088
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,1595;0,0;10,6813;19,7912
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,204;0,0;10,3613;20,2594
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,2485;0,0;10,0413;20,7134
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,293;0,0;9,7213;21,1531
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,3375;0,0;9,4013;21,5786
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,382;0,0;9,0813;21,9898
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,4265;0,0;8,7613;22,3868
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,471;0,0;8,4413;22,7696
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,5155;0,0;8,1213;23,1381
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,56;0,0;7,8013;23,4924
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,6045;0,0;7,4813;23,8324
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,649;0,0;7,1613;24,1582
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,6935;0,0;6,8413;24,4698
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,738;0,0;6,5213;24,7671
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,7825;0,0;6,2013;25,0502
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,827;0,0;5,8813;25,319
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,8715;0,0;5,5613;25,5736
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,916;0,0;5,2413;25,814
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;3,9605;0,0;4,9213;26,0401
Q;viga;147;beam_y;60x80;Piso 3;8,899999999999999;4,005;0,0;4,6013;26,252
