nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
233;G;-0,0003626649;-0,0002998301;-0,0001532577;-0,3626649;-0,2998301;-0,1532577;0,47055703008032934;0,000184463;-7,74037e-05;1,8775e-06
234;G;-0,0006718351;-0,000417863;-0,0001793565;-0,6718351;-0,417863;-0,1793565;0,791183852439501;0,0002040238;-0,0001082355;4,5489e-06
235;G;-0,00112464;-0,0005989383;-0,0001780886;-1,12464;-0,5989383;-0,1780886;1,2741829604915027;0,0002288756;-0,0001878287;9,1279e-06
236;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
237;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
238;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
239;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
240;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
241;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
272;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
273;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
274;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
275;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
276;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
277;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
308;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
309;G;-3,61532e-05;-2,11317e-05;-4,0571e-05;-0,036153199999999996;-0,0211317;-0,040571;0,041876038675237655;-6,83639e-05;-2,64203e-05;-2,024e-07
310;G;-0,0001606148;-0,0001104139;-9,40032e-05;-0,1606148;-0,1104139;-0,0940032;0,19490598577840035;-9,55007e-05;-4,80052e-05;-6,039e-07
311;G;-0,0003323429;-0,0002998301;-0,0001219039;-0,3323429;-0,2998301;-0,1219039;0,44760461575638383;-0,0001248605;-6,38708e-05;1,8775e-06
312;G;-0,0005983701;-0,000417863;-0,0001412417;-0,5983701;-0,417863;-0,1412417;0,7298330379908887;-0,0001393084;-9,18996e-05;4,5489e-06
313;G;-0,0009772247;-0,0005989383;-0,000139235;-0,9772247000000001;-0,5989383;-0,139235;1,1461654337385072;-0,0001573125;-0,0001576859;9,1279e-06
314;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
315;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
316;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
317;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
338;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
339;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
340;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
341;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
362;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
363;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
364;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
365;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
386;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
387;G;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
398;G;-3,63739e-05;-2,11317e-05;0,0;-0,0363739;-0,0211317;0,0;0,042066724927191566;0,0;0,0;-2,024e-07
399;G;-3,26625e-05;-2,11317e-05;0,0;-0,032662500000000004;-0,0211317;0,0;0,038902283366661135;0,0;0,0;-2,024e-07
400;G;-0,000161273;-0,0001104139;0,0;-0,161273;-0,1104139;0,0;0,19544873967925708;0,0;0,0;-6,039e-07
401;G;-0,0001502013;-0,0001104139;0,0;-0,1502013;-0,1104139;0,0;0,18641797079385883;0,0;0,0;-6,039e-07
402;G;-0,0003302963;-0,0002998301;0,0;-0,3302963;-0,2998301;0,0;0,44608713796712407;0,0;0,0;1,8775e-06
403;G;-0,0003647208;-0,0002998301;0,0;-0,3647208;-0,2998301;0,0;0,47214335833372684;0,0;0,0;1,8775e-06
404;G;-0,0005934118;-0,000417863;0,0;-0,5934118;-0,417863;0,0;0,7257734158456343;0,0;0,0;4,5489e-06
405;G;-0,0006768162;-0,000417863;0,0;-0,6768162;-0,417863;0,0;0,795417912390361;0,0;0,0;4,5489e-06
406;G;-0,0009672753;-0,0005989383;0,0;-0,9672753;-0,5989383;0,0;1,1376944199551038;0,0;0,0;9,1279e-06
407;G;-0,001134635;-0,0005989383;0,0;-1,1346349999999998;-0,5989383;0,0;1,2830135113988044;0,0;0,0;9,1279e-06
408;G;-3,61532e-05;-1,58181e-05;-0,0045195766;-0,036153199999999996;-0,0158181;-4,519576600000001;0,039462211770882785;-0,0007155849;-0,0002869082;-2,024e-07
409;G;-3,61532e-05;-1,78423e-05;-0,0021805862;-0,036153199999999996;-0,017842300000000002;-2,1805862;0,040316268918762804;-0,0003480331;2,45562e-05;-2,024e-07
410;G;-3,61532e-05;-1,96135e-05;-0,0014966583;-0,036153199999999996;-0,019613500000000002;-1,4966583;0,04113080661122512;-0,0002525016;0,0001140367;-2,024e-07
411;G;-3,61532e-05;-2,03726e-05;-0,0007750385;-0,036153199999999996;-0,020372599999999998;-0,7750385;0,041498152982994314;-0,0002598979;-0,0003813607;-2,024e-07
412;G;-3,46857e-05;-1,58181e-05;-0,0073645289;-0,0346857;-0,0158181;-7,3645289;0,038122304128947924;2,23035e-05;-0,000406386;-2,024e-07
413;G;-3,46857e-05;-1,78423e-05;-0,0040381612;-0,0346857;-0,017842300000000002;-4,0381612;0,03900571052781887;-0,0001475667;3,09756e-05;-2,024e-07
414;G;-3,46857e-05;-1,96135e-05;-0,002137889;-0,0346857;-0,019613500000000002;-2,137889;0,039847047152078915;-0,0001251715;7,5909e-06;-2,024e-07
415;G;-3,28841e-05;-1,58181e-05;-0,0030081508;-0,0328841;-0,0158181;-3,0081508;0,03649077034566412;0,0006714918;-7,1843e-06;-2,024e-07
416;G;-3,28841e-05;-1,78423e-05;-0,0025805139;-0,0328841;-0,017842300000000002;-2,5805138999999997;0,03741272112664354;0,0004813442;1,39869e-05;-2,024e-07
417;G;-3,28841e-05;-1,96135e-05;-0,0018282749;-0,0328841;-0,019613500000000002;-1,8282749;0,03828907696798135;0,0004858209;0,000148388;-2,024e-07
418;G;-3,28841e-05;-2,03726e-05;-0,0009368095;-0,0328841;-0,020372599999999998;-0,9368095;0,03868341845765443;0,0004674545;-0,0004782145;-2,024e-07
419;G;-0,0001606148;-9,45628e-05;-0,0049877604;-0,1606148;-0,09456279999999999;-4,9877604;0,18638464830258955;-0,0007363969;-0,0002346215;-6,039e-07
420;G;-0,0001562368;-9,45628e-05;-0,0080181245;-0,1562368;-0,09456279999999999;-8,018124499999999;0,1826254659626636;2,50451e-05;-0,0003144407;-6,039e-07
421;G;-0,0001508625;-9,45628e-05;-0,0033706044;-0,15086249999999998;-0,09456279999999999;-3,3706044;0,17804947921881153;0,0007065941;6,17457e-05;-6,039e-07
422;G;-0,0001606148;-0,0001006013;-0,0028168486;-0,1606148;-0,1006013;-2,8168486;0,18951974973793628;-0,0003701949;1,06334e-05;-6,039e-07
423;G;-0,0001562368;-0,0001006013;-0,004956716;-0,1562368;-0,1006013;-4,956716;0,18582400069939833;-0,000149819;6,2299e-06;-6,039e-07
424;G;-0,0001508625;-0,0001006013;-0,0032229805;-0,15086249999999998;-0,1006013;-3,2229805000000002;0,18132874970048185;0,0005116561;1,33167e-05;-6,039e-07
425;G;-0,0001606148;-0,000105885;-0,0018591922;-0,1606148;-0,10588499999999999;-1,8591922;0,19237657654725018;-0,0002995488;6,15121e-05;-6,039e-07
426;G;-0,0001562368;-0,000105885;-0,0028439362;-0,1562368;-0,10588499999999999;-2,8439362;0,18873677675333975;-0,0001241274;-2,75938e-05;-6,039e-07
427;G;-0,0001508625;-0,000105885;-0,0022264594;-0,15086249999999998;-0,10588499999999999;-2,2264594000000004;0,18431257995929087;0,000525659;8,98031e-05;-6,039e-07
428;G;-0,0001606148;-0,0001081495;-0,0009088459;-0,1606148;-0,10814950000000001;-0,9088459;0,19363219858610808;-0,0003202163;-0,0004368465;-6,039e-07
429;G;-0,0001508625;-0,0001081495;-0,0011075852;-0,15086249999999998;-0,10814950000000001;-1,1075852;0,18562275791642574;0,0005193279;-0,0005308968;-6,039e-07
430;G;-0,0003323429;-0,0003491152;-0,0053878397;-0,3323429;-0,3491152;-5,3878397;0,4820095704977755;-0,0007648679;-0,0001911446;1,8775e-06
431;G;-0,0003459549;-0,0003491152;-0,0085947013;-0,3459549;-0,3491152;-8,5947013;0,49149386130963024;2,13349e-05;-0,0002431721;1,8775e-06
432;G;-0,0003626649;-0,0003491152;-0,0037508144;-0,3626649;-0,3491152;-3,7508144;0,5033957216376098;0,0007388585;0,0001045095;1,8775e-06
433;G;-0,0003323429;-0,0003303399;-0,0032426513;-0,3323429;-0,3303399;-3,2426513000000003;0,4685896421309588;-0,000400027;7,2042e-06;1,8775e-06
434;G;-0,0003459549;-0,0003303399;-0,0056081311;-0,3459549;-0,3303399;-5,6081311000000005;0,47834009069491557;-0,0001564418;-2,3608e-06;1,8775e-06
435;G;-0,0003626649;-0,0003303399;-0,0036680063;-0,3626649;-0,3303399;-3,6680062999999996;0,49056118805305016;0,0005440725;1,86838e-05;1,8775e-06
436;G;-0,0003323429;-0,0003139115;-0,0021558954;-0,3323429;-0,3139115;-2,1558954;0,45715668321994374;-0,0003397935;2,89029e-05;1,8775e-06
437;G;-0,0003459549;-0,0003139115;-0,00340144;-0,3459549;-0,3139115;-3,40144;0,46714582591120307;-0,0001294777;-4,6076e-05;1,8775e-06
438;G;-0,0003626649;-0,0003139115;-0,0025443133;-0,3626649;-0,3139115;-2,5443132999999998;0,47965222768612265;0,0005610624;4,99957e-05;1,8775e-06
