nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
200009;Q;-0,0001141707;-8,54867e-05;-2,5256e-05;-0,1141707;-0,0854867;-0,025256;0,1426286248106599;-1,03357e-05;-1,96519e-05;5,706e-07
200010;Q;-0,0001205819;-8,54132e-05;-4,34759e-05;-0,12058189999999999;-0,08541320000000001;-0,043475900000000005;0,14776809311163894;3,20517e-05;-2,30783e-05;8,499e-07
200011;Q;-0,0001213382;-8,56627e-05;-2,43908e-05;-0,1213382;-0,08566270000000001;-0,0243908;0,14852965007206473;3,97981e-05;-2,03366e-05;3,797e-06
200012;Q;-0,0002009579;-0,00011678;-1,9463e-05;-0,2009579;-0,11678000000000001;-0,019463;0,23242557082302712;-2,65145e-05;-2,50214e-05;-1,3562e-06
200013;Q;-0,0002016518;-0,0001172927;-2,91037e-05;-0,20165180000000002;-0,1172927;-0,0291037;0,23328314537602157;-7,8372e-06;-3,12189e-05;1,3352e-06
200014;Q;-0,0002210315;-0,0001166577;-5,01526e-05;-0,22103150000000002;-0,1166577;-0,0501526;0,24992787551919854;3,10635e-05;-3,60744e-05;8,594e-07
200015;Q;-0,0002215623;-0,0001169091;-2,94278e-05;-0,22156230000000002;-0,1169091;-0,0294278;0,2505146511565741;4,58009e-05;-2,89916e-05;4,8502e-06
200016;Q;-0,0003238837;-0,000171746;-1,90779e-05;-0,3238837;-0,17174599999999998;-0,0190779;0,36660242721740127;-2,84141e-05;-3,73561e-05;-2,498e-07
200017;Q;-0,0003245953;-0,0001708889;-3,19774e-05;-0,3245953;-0,17088889999999998;-0,0319774;0,3668311940461171;-2,01649e-05;-3,69405e-05;1,0937e-06
200018;Q;-0,0003643451;-0,0001725854;-5,47112e-05;-0,3643451;-0,1725854;-0,0547112;0,40315390632755876;4,91714e-05;-4,3362e-05;1,5936e-06
200019;Q;-0,0003659106;-0,0001718829;-2,88789e-05;-0,3659106;-0,1718829;-0,0288789;0,404270081139787;4,95354e-05;-4,4183e-05;6,1423e-06
200020;Q;-8,6092e-06;-1,12108e-05;-5,2303e-05;-0,008609200000000001;-0,0112108;-0,052302999999999995;0,014135075566830196;-4,35716e-05;-1,92788e-05;9,0536e-06
200021;Q;-5,08859e-05;-4,02008e-05;-6,78803e-05;-0,0508859;-0,0402008;-0,0678803;0,0648496656849517;-5,13896e-05;-2,4279e-05;9,8692e-06
200022;Q;-0,0001097014;-9,2172e-05;-8,69468e-05;-0,1097014;-0,092172;-0,0869468;0,14328319770985012;-5,93958e-05;-3,24586e-05;1,20504e-05
200023;Q;-0,0001957586;-0,0001258322;-0,0001072598;-0,1957586;-0,1258322;-0,1072598;0,2327126383134358;-6,16361e-05;-4,20132e-05;1,33109e-05
200024;Q;-6,4452e-06;-1,4834e-06;-6,52311e-05;-0,0064452;-0,0014834000000000002;-0,0652311;0,006613703848827826;7,87681e-05;-2,09457e-05;-1,7041e-05
200025;Q;-4,6404e-05;-2,86272e-05;-9,01088e-05;-0,046404;-0,0286272;-0,0901088;0,05452382778052179;9,10438e-05;-2,95738e-05;-1,74189e-05
200026;Q;-0,0001156212;-7,92973e-05;-0,0001126489;-0,1156212;-0,0792973;-0,11264890000000001;0,14020101168226284;9,77594e-05;-3,84038e-05;-1,65799e-05
200027;Q;-0,0002146959;-0,0001121887;-0,0001377711;-0,2146959;-0,1121887;-0,1377711;0,2422408592382796;0,0001039021;-4,99354e-05;-1,66022e-05
200028;Q;1,331e-07;-4,4518e-06;-6,7833e-06;0,00013309999999999998;-0,0044518000000000005;-0,0067833;0,004453789268701428;-2,16144e-05;1,133e-07;-6,28e-08
200029;Q;-2,9681e-06;-6,0741e-06;-8,5593e-06;-0,0029681;-0,0060741;-0,008559299999999999;0,006760496166702559;-5,7528e-06;-1,5808e-06;6e-10
200030;Q;-9,8817e-06;-2,6959e-05;-1,32715e-05;-0,0098817;-0,026959;-0,0132715;0,02871298793037743;-1,80433e-05;-2,2316e-06;1,27e-08
200031;Q;8,71e-08;8,12e-08;-3,9593e-06;8,71e-05;8,12e-05;-0,003959300000000001;0,00011907917534145087;1,82255e-05;6,13e-08;2,73e-08
200032;Q;-1,4855e-06;-5,1775e-06;-4,2652e-06;-0,0014855;-0,0051775;-0,0042652;0,0053863917885723835;-1,7483e-06;-8,092e-07;4,11e-08
200033;Q;-1,20824e-05;-1,84006e-05;-4,6967e-06;-0,0120824;-0,018400600000000003;-0,004696700000000001;0,02201287055610876;-2,24691e-05;2,063e-07;-6,1e-08
200034;Q;-1,16778e-05;-1,94652e-05;-3,518e-06;-0,0116778;-0,019465200000000002;-0,003518;0,022699449858531815;1,28034e-05;1,36e-07;-5,53e-08
