id,piso,x_cm,y_cm,z_cm,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
9032,Subterraneo,,,,22.68366,-0.30463,2325.897036,-0.647538,1768.586647,0.0
9038,Subterraneo,,,,-102.936541,0.219659,564.924154,-0.704235,429.697187,6.166012
9044,Subterraneo,,,,-9.432859,0.201414,1075.216621,-0.599011,53.553835,0.723426
9050,Subterraneo,,,,-10.782686,0.101661,310.959734,-0.342218,49.604275,0.690691
9056,Subterraneo,,,,13.336266,5.966263,469.928505,-7.70442,26.557616,14.312584
9058,Subterraneo,,,,-195.716587,0.013574,288.115942,-113.182091,625.095007,40.209361
9060,Subterraneo,,,,29.391128,3.800269,742.937481,-5.588516,312.468497,0.093199
9063,Subterraneo,,,,6.997243,-7.777491,431.220759,8.808149,7.496763,-9.189675
9065,Subterraneo,,,,5.138935,4.874354,315.131946,-6.537988,75.685365,-5.51471
9067,Subterraneo,,,,-157.107474,0.006274,270.107323,84.427746,572.863364,-30.061541
9069,Subterraneo,,,,22.355468,15.722389,382.325252,-22.388832,17.29462,1.092576
9071,Subterraneo,,,,11.778392,2.093264,403.897522,-7.221863,-11.433516,0.362644
9073,Subterraneo,,,,-2.488082,0.073706,207.027101,-0.200901,8.56523,0.121481
9075,Subterraneo,,,,-8.119329,0.144727,106.837657,-0.515227,166.073914,-0.006242
9077,Subterraneo,,,,-2.488082,0.081132,207.027101,-0.204127,8.56523,0.121481
9079,Subterraneo,,,,76.838853,0.777453,106.837657,-2.767732,468.525041,-0.063817
9083,Subterraneo,,,,128.96134,2.868441,106.837657,-10.211651,654.081094,-0.410404
9087,Subterraneo,,,,220.57845,2.198956,106.837657,-7.828284,980.238006,-0.348576
9091,Subterraneo,,,,333.93396,3.549277,106.837657,-12.635428,1383.783623,-0.574422
9095,Subterraneo,,,,-6.378734,0.178943,315.8211,-0.490272,30.517325,0.420984
9097,Subterraneo,,,,2.963711,0.312352,118.698212,-1.111975,194.53304,0.164057
9099,Subterraneo,,,,-6.378734,0.193848,315.8211,-0.496639,30.517325,0.420984
9101,Subterraneo,,,,112.569874,1.673463,118.698212,-5.957528,584.730982,0.812363
9103,Subterraneo,,,,217.977398,6.148567,118.698212,-21.888898,959.981767,2.599058
9105,Subterraneo,,,,341.313156,4.708515,118.698212,-16.762314,1399.057065,1.915155
9107,Subterraneo,,,,515.154507,7.598155,118.698212,-27.049433,2017.932275,3.064355
