nodoTag;caso;aparece_en_tabla_Unity;Fx_kN;Fy_kN;Fz_kN;Mx_kNm;My_kNm;Mz_kNm
9028;Q;False;352,4344679347;-2,0669078943;403,0873096023;-126,3755672497;480,7201908572;-262,7553090845
9030;Q;False;463,3351646727;-1,4249839912;504,9077990825;-136,8638436362;697,0196218552;-280,8881986008
9032;Q;False;12,9383990688;-0,0690943777;656,1465811023;-0,2245883553;613,7421109807;0,0
9038;Q;False;-30,5904069352;0,0634965272;0,0;-0,2357304664;158,1686218864;1,6713578509
9044;Q;False;-2,7734090328;0,0581163324;0,0;-0,1985052299;19,5254890801;0,196091786
9050;Q;False;-3,2259341386;0,0288490687;0,0;-0,1136485591;18,1138151495;0,1872186772
9056;Q;False;4,3375799346;4,6555876657;103,5210534885;-5,8109310289;0,1433160198;4,3713974128
9058;Q;False;-56,5857594961;0,0049491598;51,0840492849;-34,3810840061;206,6034001349;12,2001248955
9060;Q;False;9,7705460608;1,7695189858;127,1117647033;-2,4907319621;123,1525844988;-0,0387129903
9063;Q;False;2,5789428311;-4,3302350415;74,1787215864;5,1448505277;-2,9981861491;-3,5076746902
9065;Q;False;1,7438277021;0,7621352802;53,6890875685;-1,1867144692;36,1501338959;-1,7468722891
9067;Q;False;-51,1807374919;-0,0001268937;53,2819896808;29,4005707819;223,5027451466;-10,4415082703
9069;Q;False;7,6735635566;5,9964672385;71,5786847705;-8,0997903578;-0,1444980201;0,423967012
9071;Q;False;4,0157215821;-0,8568944446;65,8354962182;-0,2752038285;-9,6786126036;0,0619157651
9073;Q;False;-0,7760213986;0,0218630805;0,0;-0,067535167;3,0854375348;0,032928588
9075;Q;False;11,9929601619;0,0530594619;0,0;-0,1888916842;42,6949381764;-0,0031424911
9077;Q;False;-0,7760213986;0,0244396841;0,0;-0,0690786019;3,0854375348;0,032928588
9079;Q;False;40,8836426783;0,2293773259;-0,0;-0,8165832804;145,5457679347;-0,0168895822
